X,Y,Z,t,K1,K2,K3,Qo,Qw,Iw,Pressure,SWAT
20,20,18,1,585,585,58.5,0,0,-423.74942,338.0369,0.52743226
40,20,18,1,581,581,58.099998,0,0,0,322.97507,0.47806942
60,20,18,1,584,584,58.400002,0,0,0,309.84018,0.44523701
80,20,18,1,593,593,59.299999,0,0,0,298.09705,0.42209205
100,20,18,1,609,609,60.900002,0,0,0,287.57068,0.40498871
120,20,18,1,630,630,63,0,0,0,278.21329,0.3919557
140,20,18,1,656,656,65.599998,0,0,0,270.07309,0.38183627
160,20,18,1,685,685,68.5,0,0,0,263.12982,0.37416103
180,20,18,1,717,717,71.699997,0,0,0,257.37738,0.36830088
200,20,18,1,749,749,74.900002,0,0,0,252.70869,0.36421639
220,20,18,1,781,781,78.099998,0,0,0,249.01842,0.36124584
240,20,18,1,809,809,80.900002,0,0,0,246.21677,0.3600215
260,20,18,1,833,833,83.300003,0,0,0,244.17888,0.36014625
280,20,18,1,850,850,85,0,0,0,242.73666,0.36023456
300,20,18,1,861,861,86.099998,0,0,0,241.76482,0.36029407
320,20,18,1,864,864,86.400002,0,0,0,241.16884,0.36033058
340,20,18,1,860,860,86,0,0,0,240.87653,0.36034849
360,20,18,1,851,851,85.099998,0,0,0,240.83177,0.36035123
380,20,18,1,838,838,83.800003,0,0,0,240.99008,0.36034152
400,20,18,1,822,822,82.199997,0,0,0,241.31567,0.36032158
420,20,18,1,806,806,80.599998,0,0,0,241.77979,0.36029315
440,20,18,1,793,793,79.300003,0,0,0,242.35934,0.36025766
460,20,18,1,782,782,78.199997,0,0,0,243.03654,0.3602162
480,20,18,1,777,777,77.699997,0,0,0,243.79874,0.36016953
500,20,18,1,778,778,77.800003,0,0,0,244.63815,0.36011812
520,20,18,1,786,786,78.599998,0,0,0,245.55202,0.36006218
540,20,18,1,802,802,80.199997,0,0,0,246.54259,0.36000156
560,20,18,1,825,825,82.5,0,0,0,247.61707,0.35993582
580,20,18,1,856,856,85.599998,0,0,0,248.78804,0.35986418
600,20,18,1,895,895,89.5,0,0,0,250.07338,0.35978556
620,20,18,1,938,938,93.800003,0,0,0,251.49637,0.35969853
640,20,18,1,986,986,98.599998,0,0,0,253.0858,0.36029127
660,20,18,1,1033,1033,103.3,0,0,0,254.86319,0.36266649
680,20,18,1,1078,1078,107.8,0,0,0,256.82782,0.36465439
700,20,18,1,1116,1116,111.6,0,0,0,259.00607,0.36716363
